Time,Mesh_Current
01:13.6,1535
01:14.6,1535
01:15.6,1535
01:16.6,1535
01:17.6,1536
01:18.6,1535
01:19.6,1535
01:20.6,1535
01:21.6,1536
01:22.6,1537
01:23.6,1534
01:24.6,1536
01:25.6,1536
01:26.6,1537
01:27.6,1536
01:28.6,1535
01:29.6,1535
01:30.6,1535
01:31.6,1535
01:32.6,1534
01:33.6,1535
01:34.6,1534
01:35.6,1534
01:36.6,1535
01:37.6,1534
01:38.6,1533
01:39.6,1533
01:40.6,1533
01:41.6,1533
01:42.6,1533
01:43.6,1542
01:44.6,1539
01:45.6,1541
01:46.6,1538
01:47.6,1540
01:48.6,1540
01:49.6,1539
01:50.6,1538
01:51.6,1539
01:52.5,1537
01:53.5,1538
01:54.5,1538
01:55.5,1540
01:56.5,1539
01:57.5,1539
01:58.5,1540
01:59.5,1540
02:00.5,1540
02:01.5,1538
02:02.5,1539
02:03.5,1539
02:04.5,1538
02:05.5,1539
02:06.5,1540
02:07.5,1539
02:08.5,1539
02:09.5,1541
02:10.5,1540
02:11.5,1539
02:12.5,1539
02:13.5,1539
02:14.5,1539
02:15.5,1540
02:16.5,1538
02:17.5,1538
02:18.5,1538
02:19.5,1538
02:20.5,1539
02:21.5,1539
02:22.5,1539
02:23.5,1539
02:24.5,1539
02:25.5,1537
02:26.5,1537
02:27.5,1537
02:28.5,1539
02:29.5,1540
02:30.5,1539
02:31.5,1539
02:32.5,1537
02:33.5,1539
02:34.5,1541
02:35.5,1540
02:36.5,1538
02:37.5,1538
02:38.5,1539
02:39.5,1540
02:40.5,1540
02:41.5,1539
02:42.5,1539
02:43.5,1539
02:44.5,1539
02:45.5,1538
02:46.5,1538
02:47.5,1538
02:48.5,1540
02:49.5,1539
02:50.5,1537
02:51.5,1539
02:52.5,1539
02:53.5,1539
02:54.5,1538
02:55.5,1538
02:56.5,1540
02:57.5,1539
02:58.5,1539
02:59.5,1539
03:00.5,1539
03:01.5,1539
03:02.5,1540
03:03.5,1538
03:04.5,1538
03:05.5,1538
03:06.5,1538
03:07.5,1539
03:08.5,1540
03:09.5,1540
03:10.5,1541
03:11.5,1540
03:12.5,1539
03:13.5,1539
03:14.5,1540
03:15.5,1540
03:16.5,1539
03:17.5,1540
03:18.5,1539
